term_str|n|n_chars|p|i|max_pos|max_pos_group|stop|porter_stem|song_dfidf|album_dfidf|anger|anticipation|disgust|fear|joy|negative|positive|sadness|surprise|trust|sentiment
missing|40|7|0.0002076767718722|12.23337251617719|VBG|VB|0|miss|103.07533324441734|37.35729912472311|0|0|0|1|0|1|0|1|0|0|-1
mistaken|5|8|2.595959648403225e-05|15.23337251617719|VBN|VB|0|mistaken|24.93410970956636|14.672312790735724|0|0|0|1|0|1|0|0|0|0|-1
money|66|5|0.0003426666735892|11.510906491706098|NN|NN|0|money|131.3119053533804|44.35863987124021|1|1|0|0|1|0|1|0|1|1|1
mosquito|15|8|7.787878945209675e-05|13.648410015456031|NNP|NN|0|mosquito|9.89633240390994|6.475733430966398|1|0|1|0|0|1|0|0|0|0|-1
mysterious|8|10|4.1535354374451605e-05|14.55530061106455|JJ|JJ|0|mysteri|17.792664807819882|10.951466861932795|0|1|0|1|0|0|0|0|1|0|0
mystery|29|7|0.0001505656596073|12.697319615936978|NN|NN|0|mysteri|70.8059086379991|31.538053360790357|0|1|0|0|0|0|0|0|1|0|0
nauseous|1|8|5.191919296806451e-06|17.555300611064553|CC|CC|0|nauseou|9.89633240390994|6.475733430966398|0|0|1|0|0|1|0|1|0|0|-1
nervous|10|7|5.19191929680645e-05|14.23337251617719|JJ|JJ|0|nervou|49.62284237296636|23.344625581471448|0|1|0|1|0|1|0|0|0|0|-1
nettle|1|6|5.191919296806451e-06|17.555300611064553|MD|MD|0|nettl|9.89633240390994|6.475733430966398|1|0|1|0|0|1|0|0|0|0|-1
pain|48|4|0.0002492121262467|11.970338110343397|NN|NN|0|pain|163.5015651304265|45.3785023258858|0|0|0|1|0|1|0|1|0|0|-1
pang|22|4|0.0001142222245297|13.095868992427254|NNP|NN|0|pang|9.89633240390994|6.475733430966398|0|0|0|0|0|1|0|0|1|0|-1
passionate|6|10|3.11515157808387e-05|14.970338110343397|NN|NN|0|passion|17.792664807819882|10.951466861932795|0|1|0|0|1|0|1|0|0|1|1
pay|40|3|0.0002076767718722|12.23337251617719|VB|VB|0|pay|123.57372030061735|43.75173617194039|0|1|0|0|1|0|1|0|0|1|1
perfect|35|7|0.0001817171753882|12.426017594119584|JJ|JJ|0|perfect|123.57372030061735|43.75173617194039|0|1|0|0|1|0|1|0|0|1|1
pop|5|3|2.595959648403225e-05|15.23337251617719|VB|VB|0|pop|17.792664807819882|10.951466861932795|0|0|0|0|0|1|0|0|1|0|-1
