album_id|song_num|T00|T01|T02|T03|T04|T05|T06|T07|T08|T09|T10|T11|T12|T13|T14|T15|T16|T17|T18|T19
0|0|0.5531669964458628|0.0006493506632034948|0.0006493506679099454|0.1731400784675386|0.0006493506627786882|0.0006493506574985073|0.000649350656154363|0.0006493506566466017|0.0006493506605294503|0.0006493506638539496|0.0006493506706521444|0.0006493506582441906|0.0006493506665603869|0.26265396381989703|0.0006493506660293938|0.0006493506648541974|0.0006493506607246603|0.0006493506657806858|0.0006493506558876312|0.0006493506693934092
0|1|0.003333333356588708|0.003333333364303652|0.0033333333419241704|0.0033333333894493933|0.529066063643268|0.0033333333832916896|0.0033333333350018548|0.0033333333580530785|0.0033333333707800997|0.41093393582977805|0.0033333333526641144|0.0033333333813671657|0.0033333333529835885|0.0033333333711724083|0.003333333374460249|0.003333333347361189|0.003333333357101656|0.003333333380114286|0.003333333353908358|0.003333333356428492
1|0|0.0020000000219515274|0.002000000047314736|0.0020000000030292236|0.0020000000316350557|0.0020000000272146256|0.0020000000145253636|0.002000000018635311|0.12966076080013655|0.0020000000324702453|0.0020000000179034843|0.8343392386733444|0.0020000000141167746|0.0020000000337835728|0.0020000000113082617|0.0020000000369716545|0.0020000000250222252|0.0020000000496716605|0.002000000064590456|0.0020000000432532925|0.0020000000331216344
1|1|0.0008620689669801006|0.0008620689696373051|0.0008620689667597733|0.0008620689662729825|0.0008620689660187877|0.0008620689718399022|0.0008620689656761617|0.0008620689658218351|0.0008620689682626666|0.0008620689662482369|0.0008620689663423368|0.000862068965843745|0.0008620689663010026|0.0008620689677006819|0.0008620689660368087|0.9836206893597854|0.0008620689693459053|0.0008620692334578828|0.0008620689659257265|0.0008620689657427931
1|2|0.0010869565391420535|0.11517817269344954|0.00108695653297327|0.0010869565372289744|0.0010869565365497437|0.0010869565358681832|0.0010869565357968537|0.0010869565329522052|0.0010869565472542777|0.0010869565331575036|0.0010869565286470877|0.0010869565419824368|0.0010869565390056388|0.001086956555854851|0.0010869565284817933|0.0010869565325207805|0.0010869565348095088|0.0010869565475706197|0.8652566096299776|0.001086956536777031
1|3|0.0018518518789245213|0.001851851884721348|0.0018518518679478532|0.0018518518599050513|0.001851851880364173|0.0018518518843408328|0.0018518518540868313|0.0018518518804354072|0.0018518518943817484|0.001851851866054613|0.001851851870653947|0.0018518518572171014|0.0018518518683009859|0.8434477393225196|0.12321892694142489|0.0018518518668914693|0.0018518518670988932|0.0018518518680962195|0.0018518519124016356|0.0018518518742327906
1|4|0.002083333341015907|0.00208333335205242|0.0020833333529621237|0.0020833333561498454|0.002083333348824748|0.0020833333506834863|0.0020833333458103722|0.002083333336683284|0.9604166663319526|0.0020833333456683274|0.0020833333632449373|0.002083333352575871|0.0020833333389818167|0.002083333359418853|0.002083333344926755|0.002083333358804558|0.002083333355059116|0.0020833333549844677|0.0020833333443638956|0.0020833333658367773
1|5|0.0019230769341105987|0.0019230769521368881|0.0019230769314646618|0.0019230769295358057|0.001923076939247757|0.0019230769399388348|0.0019230769304132002|0.0019230769258884522|0.0019230769578338816|0.001923076980763591|0.5329798548193172|0.0019230769302989563|0.001923076952513954|0.0019230769369469054|0.43240476024871743|0.001923076929522824|0.0019230769363084484|0.0019230769661617323|0.0019230769289136024|0.0019230769299651903
1|6|0.9762499998626157|0.0012500000107306258|0.0012500000020988404|0.0012500000072075625|0.0012500000086319409|0.0012500000108459145|0.0012500000026388998|0.0012500000016244176|0.001250000005609586|0.0012500000052938977|0.0012500000094268137|0.0012500000038902|0.0012500000014016898|0.0012500000051213888|0.0012500000065733038|0.0012500000123796592|0.0012500000124081084|0.001250000007205811|0.0012500000129819326|0.0012500000113137072
1|7|0.001785714311125251|0.0017857143206998069|0.001785714314340166|0.0017857142920263392|0.0017857143111272614|0.0017857143388775652|0.0017857142990995512|0.001785714286714962|0.0017857143140660372|0.0017857143195165355|0.001785715049181176|0.0017857143061395385|0.0017857143115011314|0.0017857143136348667|0.0017857142958356128|0.9660714273769944|0.0017857143295459592|0.0017857143154731158|0.0017857142925215151|0.0017857143015793412
