album_id|song_num|term_str|n|max_pos|song_dfidf|anger|anticipation|disgust|fear|joy|sadness|surprise|trust|sentiment|tfidf
12|0|sun|3|NN|239.3665084980854|0.0|0.5699202583287747|0.0|0.0|0.5699202583287747|0.0|0.5699202583287747|0.5699202583287747|0.5699202583287747|0.5699202583287747
12|0|watch|1|VB|228.98273898373088|0.0|0.1947132134215398|0.0|0.1947132134215398|0.0|0.0|0.0|0.0|0.0|0.1947132134215398
12|1|fall|1|NN|285.9523447218064|0.0|0.0|0.0|0.0|0.0|0.2382936206015053|0.0|0.0|-0.2382936206015053|0.2382936206015053
12|1|love|1|NN|480.125143902306|0.0|0.0|0.0|0.0|0.1306462976604914|0.0|0.0|0.0|0.1306462976604914|0.1306462976604914
12|2|hell|6|NN|160.11396339019913|2.2393561313314563|0.0|2.2393561313314563|2.2393561313314563|0.0|2.2393561313314563|0.0|0.0|-2.2393561313314563|2.2393561313314563
12|2|hungry|1|JJ|55.17065923127954|0.0|0.5304871079930725|0.0|0.0|0.0|0.0|0.0|0.0|-0.5304871079930725|0.5304871079930725
12|2|leave|2|VB|344.3127356691418|0.0|0.0|0.0|0.0|0.0|0.4772179288553594|0.4772179288553594|0.0|-0.4772179288553594|0.4772179288553594
12|2|lonely|2|JJ|149.6832542490427|0.7676064320463729|0.0|0.7676064320463729|0.7676064320463729|0.0|0.7676064320463729|0.0|0.0|-0.7676064320463729|0.7676064320463729
12|2|lost|4|VBN|251.80769840729667|0.0|0.0|0.0|0.0|0.0|1.1919891048866116|0.0|0.0|-1.1919891048866116|1.1919891048866116
12|2|wild|11|JJ|142.49136949186544|0.0|0.0|0.0|0.0|0.0|0.0|4.306057869259671|0.0|-4.306057869259671|4.306057869259671
12|3|baby|2|NN|294.3372584150192|0.0|0.0|0.0|0.0|0.1297783326344881|0.0|0.0|0.0|0.1297783326344881|0.1297783326344881
12|3|battle|1|NN|55.17065923127954|0.1277098593316656|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-0.1277098593316656|0.1277098593316656
12|3|dance|4|NN|156.68263692511815|0.0|0.0|0.0|0.0|0.3626912891785142|0.0|0.0|0.3626912891785142|0.3626912891785142|0.3626912891785142
12|3|moody|12|JJ|9.89633240390994|2.1991849786466533|0.0|0.0|0.0|0.0|2.1991849786466533|0.0|0.0|-2.1991849786466533|2.1991849786466533
12|3|wilderness|1|NN|49.62284237296636|0.0|0.1312773607750433|0.0|0.1312773607750433|0.0|0.1312773607750433|0.0|0.0|0.0|0.1312773607750433
12|4|baby|1|NN|294.3372584150192|0.0|0.0|0.0|0.0|0.1401605992452472|0.0|0.0|0.0|0.1401605992452472|0.1401605992452472
12|4|broke|3|VBD|65.7440430902258|0.0|0.0|0.0|0.7889285170827095|0.0|0.7889285170827095|0.0|0.0|-0.7889285170827095|0.7889285170827095
12|4|glow|3|NN|60.53766662220867|0.0|0.8071688882961155|0.0|0.0|0.8071688882961155|0.0|0.0|0.8071688882961155|0.8071688882961155|0.8071688882961155
12|4|ill|1|NNP|433.76405954563927|0.0958594606730694|0.0|0.0958594606730694|0.0958594606730694|0.0|0.0958594606730694|0.0|0.0|-0.0958594606730694|0.0958594606730694
12|5|dying|1|VBG|138.8190123471548|0.4284537418122061|0.0|0.4284537418122061|0.4284537418122061|0.0|0.4284537418122061|0.0|0.0|-0.4284537418122061|0.4284537418122061
12|5|god|1|NNP|173.41452441639672|0.0|0.3905732531900826|0.0|0.3905732531900826|0.3905732531900826|0.0|0.0|0.3905732531900826|0.3905732531900826|0.3905732531900826
12|5|green|1|JJ|142.49136949186544|0.0|0.0|0.0|0.0|0.4240814568210281|0.0|0.0|0.4240814568210281|0.4240814568210281|0.4240814568210281
12|5|love|3|NN|480.125143902306|0.0|0.0|0.0|0.0|0.4899236162268428|0.0|0.0|0.0|0.4899236162268428|0.4899236162268428
