album_id|term_str|n|tfidf|max_pos|album_dfidf|anger|anticipation|disgust|fear|joy|sadness|surprise|trust|sentiment
9|buried|1|0.0278058674477311|VBN|27.80586744773118|0.0|0.0|0.0|0.0278058674477311|0.0|0.0278058674477311|0.0|0.0|-0.0278058674477311
9|create|2|0.0716117348954623|VBP|17.90293372386559|0.0|0.0|0.0|0.0|0.0716117348954623|0.0|0.0|0.0|0.0716117348954623
9|cruel|3|0.0996913280658968|JJ|20.76902668039518|0.0996913280658968|0.0|0.0996913280658968|0.0996913280658968|0.0|0.0996913280658968|0.0|0.0|-0.0996913280658968
9|darkness|1|0.0222023497026024|NN|36.07881826672897|0.0222023497026024|0.0|0.0|0.0222023497026024|0.0|0.0222023497026024|0.0|0.0|-0.0222023497026024
9|die|2|0.0196448946803649|VB|46.65662486586687|0.0|0.0|0.0|0.0196448946803649|0.0|0.0196448946803649|0.0|0.0|-0.0196448946803649
9|dying|1|0.0161304144986328|VBG|44.35863987124021|0.0161304144986328|0.0|0.0161304144986328|0.0161304144986328|0.0|0.0161304144986328|0.0|0.0|-0.0161304144986328
9|fall|2|0.0124046994052048|NN|40.31527306691589|0.0|0.0|0.0|0.0|0.0|0.0124046994052048|0.0|0.0|-0.0124046994052048
9|favorite|2|0.0482608289972656|JJ|33.17931993562011|0.0|0.0|0.0|0.0|0.0482608289972656|0.0|0.0|0.0482608289972656|0.0482608289972656
9|fight|1|0.0129420194867106|VB|46.914820639325946|0.0129420194867106|0.0|0.0|0.0129420194867106|0.0|0.0|0.0|0.0|-0.0129420194867106
9|forced|4|0.1432234697909247|VBN|17.90293372386559|0.0|0.0|0.0|0.1432234697909247|0.0|0.0|0.0|0.0|-0.1432234697909247
9|god|3|0.0439650537886001|NNP|45.79693102979183|0.0|0.0439650537886001|0.0|0.0439650537886001|0.0439650537886001|0.0|0.0|0.0439650537886001|0.0439650537886001
9|good|10|0.0435996874722809|JJ|33.2447616976142|0.0|0.0435996874722809|0.0|0.0|0.0435996874722809|0.0|0.0435996874722809|0.0435996874722809|0.0435996874722809
