album_id|term_str|n|tfidf
0|a|6|0.0
0|about|1|0.015801189871052203
0|accept|1|0.1358547480623678
0|admit|1|0.10189940302524425
0|afraid|2|0.10845397082829915
0|again|8|0.14852855753528746
0|all|4|0.0018113124810111823
0|already|1|0.05600838367580835
0|alright|1|0.0449375676621896
0|always|1|0.015801189871052203
0|and|12|0.0
0|another|1|0.03205014822441765
0|anything|2|0.08715793529765996
0|appreciate|1|0.10807697028459004
0|are|3|0.009848452195692846
0|at|1|0.003282817398564282
0|away|4|0.047926590178660466
0|back|2|0.010573956228008295
0|be|4|0.0036433261241854906
0|beautiful|2|0.11965585200439086
0|best|1|0.03410571993118923
0|bet|1|0.08378616145358612
0|big|1|0.046343847469688705
0|bright|1|0.05787266689410103
0|brought|1|0.08029919250681226
0|but|1|0.0023171113385454852
0|by|2|0.018110350636761988
0|can|6|0.016782333269912166
0|cant|2|0.012655884306822901
0|changed|1|0.08378616145358612
0|city|1|0.046343847469688705
0|could|1|0.008494678597891261
0|crush|1|0.08378616145358612
0|day|1|0.015801189871052203
0|days|1|0.02733000929546453
0|didnt|1|0.04226492001609784
0|dizzying|1|0.17988148419351105
0|do|8|0.026262539188514258
0|doesnt|1|0.05787266689410103
0|done|1|0.0374014003894842
0|door|2|0.07254491275133808
0|doors|2|0.1930963017203554
0|doot|8|1.4390518735480884
0|every|1|0.020023498022303587
0|everything|4|0.1282005928976706
0|eyes|6|0.04115245674508616
0|face|1|0.025587349424687787
0|faith|1|0.0965481508601777
0|favorite|2|0.16757232290717225
0|feel|3|0.022190005444787324
0|feet|1|0.04099259530462216
0|few|1|0.08378616145358612
0|first|3|0.11927827596732868
0|floor|2|0.08452984003219569
0|fools|2|0.21615394056918008
0|for|4|0.007371388314299563
0|freak|4|0.461533926231004
0|friends|3|0.08745572302202499
0|friendship|1|0.17988148419351105
0|from|7|0.022979721789949975
0|gave|1|0.047801275800081366
0|get|1|0.007396668481595775
0|give|1|0.02474363695125671
0|gonna|4|0.07715263527130424
0|got|1|0.007396668481595775
0|hand|1|0.031060595176342055
0|hands|1|0.03009488911632326
0|happening|1|0.10189940302524425
0|have|1|0.004272370446639874
0|he|1|0.02915190767400833
0|head|2|0.04462822716638345
0|help|2|0.0898751353243792
0|here|3|0.032355882476338194
0|hesitation|1|0.1358547480623678
0|hey|4|0.17431587059531992
0|hide|2|0.08452984003219569
0|highway|1|0.0918280119312246
0|home|1|0.015801189871052203
0|hours|1|0.07709149202292515
0|how|1|0.01020024928300635
0|huh|2|0.230766963115502
0|hypnotised|1|0.17988148419351105
0|i|15|0.0
0|if|4|0.015098158675752558
0|ill|4|0.027434971163390776
0|im|9|0.012367169066074976
0|in|7|0.0
0|influence|1|0.15210370641573326
0|instead|1|0.0876057037799732
0|interstellar|1|0.15210370641573326
0|into|1|0.009623622611706422
0|is|5|0.004554157655231863
0|isnt|1|0.05088547892199091
0|it|17|0.015484136027788335
0|its|4|0.007371388314299563
0|ive|1|0.010785294158779398
0|journey|1|0.17988148419351105
0|just|2|0.005594111089970722
0|know|2|0.0027482597924611057
0|last|1|0.02733000929546453
0|late|4|0.1797502706487584
0|left|2|0.04307187293473919
0|light|3|0.03778046816149527
0|lights|1|0.035174446259373555
0|like|1|0.0009108315310463726
0|lonely|4|0.19725485698058948
0|long|1|0.023917321856977484
0|look|1|0.01321481752684438
0|love|6|0.028658780464882475
0|make|2|0.025186978774330182
0|me|14|0.0
0|miss|1|0.04357896764882998
0|moment|2|0.13754074616479986
0|more|7|0.09692151534070471
0|much|3|0.07423091085377014
0|must|1|0.05787266689410103
0|my|9|0.00407545308227516
0|mystery|1|0.0876057037799732
0|nana|2|0.3597629683870221
0|nanana|6|0.8151284883742069
0|need|2|0.032949465644697584
0|never|1|0.004272370446639874
0|new|2|0.05830381534801666
0|night|3|0.039644452580533146
0|no|5|0.011585556692727428
0|nothing|1|0.018566069691910932
0|now|1|0.002797055544985361
0|of|7|0.0
0|oh|5|0.03970956556755285
0|okay|2|0.1541829840458503
0|on|10|0.009108315310463726
0|one|1|0.004776463410813746
0|our|1|0.01020024928300635
0|out|15|0.041955833174780424
0|over|1|0.01321481752684438
0|people|1|0.03627245637566904
0|pick|1|0.07709149202292515
0|piece|1|0.0918280119312246
0|pieces|1|0.0876057037799732
0|playing|1|0.0876057037799732
0|possible|1|0.115383481557751
0|promise|1|0.08029919250681226
0|putting|1|0.0918280119312246
0|rain|1|0.04226492001609784
0|ready|2|0.1541829840458503
0|really|1|0.026449207636371798
0|remember|2|0.06018977823264652
0|reminds|1|0.115383481557751
0|rock|1|0.07709149202292515
0|said|2|0.03857631763565212
0|save|1|0.04099259530462216
0|saved|1|0.115383481557751
0|say|1|0.009623622611706422
0|schools|2|0.3042074128314665
0|scooped|1|0.17988148419351105
0|see|6|0.019696904391385692
0|seeing|1|0.07412162524746647
0|seen|1|0.04099259530462216
0|self|1|0.10189940302524425
0|serious|1|0.1358547480623678
0|shame|5|0.3854574601146258
0|shell|1|0.07135674542660776
0|ship|1|0.10189940302524425
0|sliding|1|0.15210370641573326
0|slipped|1|0.115383481557751
0|so|7|0.012899929550024237
0|solved|1|0.15210370641573326
0|song|2|0.0898751353243792
0|sore|1|0.12432592863795548
0|space|5|0.2711349270707479
0|sphere|1|0.12432592863795548
0|starry|4|0.608414825662933
0|step|2|0.12810046830689364
0|stepped|2|0.2717094961247356
0|still|4|0.05285927010737752
0|such|1|0.05787266689410103
0|suns|1|0.17988148419351105
0|take|1|0.007396668481595775
0|takes|2|0.1752114075599464
